player_name,team,league_country,position,age,market_value_raw,market_value_est,scraped_date
Muhamad Riyandi,PERSIS Solo,Indonesia,Kiper,0,"Rp3,04Mlyr.",304000000,2026-01-26
Gianluca Pandeynuwu,PERSIS Solo,Indonesia,Kiper,31,"Rp2,61Mlyr.",261000000,2026-01-26
Vukasin Vranes,PERSIS Solo,Indonesia,Kiper,0,"Rp1,74Mlyr.",174000000,2026-01-26
Gede Aditya,PERSIS Solo,Indonesia,Kiper,23,"Rp173,82Jt.",17382000,2026-01-26
Faza Al Firdaus,PERSIS Solo,Indonesia,Kiper,20,-,0,2026-01-26
Xandro Schenk,PERSIS Solo,Indonesia,Bek-Tengah,0,"Rp4,78Mlyr.",478000000,2026-01-26
Cleylton,PERSIS Solo,Indonesia,Bek-Tengah,19,"Rp3,91Mlyr.",391000000,2026-01-26
Kadek Raditya,PERSIS Solo,Indonesia,Bek-Tengah,32,"Rp2,61Mlyr.",261000000,2026-01-26
Agung Mannan,PERSIS Solo,Indonesia,Bek-Tengah,0,"Rp1,30Mlyr.",130000000,2026-01-26
Rian Miziar,PERSIS Solo,Indonesia,Bek-Tengah,26,"Rp434,54Jt.",43454000,2026-01-26
Yulfikar Mansur,PERSIS Solo,Indonesia,Bek-Tengah,28,-,0,2026-01-26
Jordy Tutuarima,PERSIS Solo,Indonesia,Bek-Kiri,0,"Rp3,48Mlyr.",348000000,2026-01-26
Faqih Maulana,PERSIS Solo,Indonesia,Bek-Kiri,29,"Rp1,74Mlyr.",174000000,2026-01-26
Dusan Mijic,PERSIS Solo,Indonesia,Bek-Kanan,44,"Rp3,48Mlyr.",348000000,2026-01-26
Alfriyanto Nico,PERSIS Solo,Indonesia,Bek-Kanan,0,"Rp2,61Mlyr.",261000000,2026-01-26
Ibrahim Sanjaya,PERSIS Solo,Indonesia,Bek-Kanan,0,"Rp1,30Mlyr.",130000000,2026-01-26
Eky Taufik,PERSIS Solo,Indonesia,Bek-Kanan,30,"Rp869,08Jt.",86908000,2026-01-26
Rizky Syahputra,PERSIS Solo,Indonesia,Bek-Kanan,0,-,0,2026-01-26
Fuad Sule,PERSIS Solo,Indonesia,Gel. Bertahan,0,"Rp3,48Mlyr.",348000000,2026-01-26
Sutanto Tan,PERSIS Solo,Indonesia,Gel. Bertahan,22,"Rp3,04Mlyr.",304000000,2026-01-26
Mateo Kocijan,PERSIS Solo,Indonesia,Gel. Bertahan,27,"Rp2,61Mlyr.",261000000,2026-01-26
Zulfahmi Arifin,PERSIS Solo,Indonesia,Gel. Bertahan,37,"Rp869,08Jt.",86908000,2026-01-26
Miroslav Maricic,PERSIS Solo,Indonesia,Gel. Tengah,0,"Rp3,48Mlyr.",348000000,2026-01-26
Zanadin Fariz,PERSIS Solo,Indonesia,Gel. Tengah,0,"Rp2,17Mlyr.",217000000,2026-01-26
Adriano Castanheira,PERSIS Solo,Indonesia,Gel. Serang,0,"Rp2,61Mlyr.",261000000,2026-01-26
Rexo Dolby,PERSIS Solo,Indonesia,Gel. Serang,0,-,0,2026-01-26
Sho Yamamoto,PERSIS Solo,Indonesia,Sayap Kiri,0,"Rp4,35Mlyr.",435000000,2026-01-26
Irfan Jauhari,PERSIS Solo,Indonesia,Sayap Kiri,0,"Rp2,61Mlyr.",261000000,2026-01-26
Yabes Roni,PERSIS Solo,Indonesia,Sayap Kiri,0,"Rp1,74Mlyr.",174000000,2026-01-26
Althaf Alrizky,PERSIS Solo,Indonesia,Sayap Kanan,36,"Rp2,61Mlyr.",261000000,2026-01-26
Ikhwan Tanamal,PERSIS Solo,Indonesia,Sayap Kanan,40,"Rp1,30Mlyr.",130000000,2026-01-26
Kodai Tanaka,PERSIS Solo,Indonesia,Depan-Tengah,0,"Rp3,91Mlyr.",391000000,2026-01-26
Gervane Kastaneer,PERSIS Solo,Indonesia,Depan-Tengah,0,"Rp3,04Mlyr.",304000000,2026-01-26
Arkhan Kaka,PERSIS Solo,Indonesia,Depan-Tengah,0,"Rp1,30Mlyr.",130000000,2026-01-26
Arthur Augusto,Semen Padang FC,Indonesia,Kiper,0,"Rp3,91Mlyr.",391000000,2026-01-26
Rendy Oscario,Semen Padang FC,Indonesia,Kiper,27,"Rp1,30Mlyr.",130000000,2026-01-26
Teguh Amiruddin,Semen Padang FC,Indonesia,Kiper,0,"Rp869,08Jt.",86908000,2026-01-26
Farel Putra,Semen Padang FC,Indonesia,Kiper,0,"Rp173,82Jt.",17382000,2026-01-26
Iqbal Bachtiar,Semen Padang FC,Indonesia,Kiper,0,-,0,2026-01-26
Ângelo Meneses,Semen Padang FC,Indonesia,Bek-Tengah,24,"Rp4,35Mlyr.",435000000,2026-01-26
Jaime Giraldo,Semen Padang FC,Indonesia,Bek-Tengah,0,"Rp3,48Mlyr.",348000000,2026-01-26
Tin Martic,Semen Padang FC,Indonesia,Bek-Tengah,0,"Rp2,61Mlyr.",261000000,2026-01-26
Rui Rampa,Semen Padang FC,Indonesia,Bek-Tengah,23,"Rp1,30Mlyr.",130000000,2026-01-26
Asyraq Gufron,Semen Padang FC,Indonesia,Bek-Tengah,0,-,0,2026-01-26
Leo Guntara,Semen Padang FC,Indonesia,Bek-Kiri,0,"Rp3,48Mlyr.",348000000,2026-01-26
Samuel Simanjuntak,Semen Padang FC,Indonesia,Bek-Kiri,0,"Rp1,30Mlyr.",130000000,2026-01-26
Ravy Tsouka,Semen Padang FC,Indonesia,Bek-Kanan,0,"Rp5,21Mlyr.",521000000,2026-01-26
Zidane Afandi,Semen Padang FC,Indonesia,Bek-Kanan,25,"Rp869,08Jt.",86908000,2026-01-26
Ghifari Azhhari,Semen Padang FC,Indonesia,Bek-Kanan,0,-,0,2026-01-26
Boubakary Diarra,Semen Padang FC,Indonesia,Gel. Bertahan,21,"Rp4,35Mlyr.",435000000,2026-01-26
Rosad Setiawan,Semen Padang FC,Indonesia,Gel. Bertahan,31,"Rp3,04Mlyr.",304000000,2026-01-26
Ripal Wahyudi,Semen Padang FC,Indonesia,Gel. Bertahan,0,"Rp2,17Mlyr.",217000000,2026-01-26
Ricki Ariansyah,Semen Padang FC,Indonesia,Gel. Bertahan,0,"Rp1,74Mlyr.",174000000,2026-01-26
Alhassan Wakaso,Semen Padang FC,Indonesia,Gel. Bertahan,30,"Rp869,08Jt.",86908000,2026-01-26
Dimas Saputra,Semen Padang FC,Indonesia,Gel. Bertahan,0,"Rp434,54Jt.",43454000,2026-01-26
Kazaki Nakagawa,Semen Padang FC,Indonesia,Gel. Serang,0,"Rp3,48Mlyr.",348000000,2026-01-26
Kianz Froese,Semen Padang FC,Indonesia,Gel. Serang,0,"Rp2,61Mlyr.",261000000,2026-01-26
Maicon,Semen Padang FC,Indonesia,Sayap Kiri,0,"Rp4,78Mlyr.",478000000,2026-01-26
Firman Juliansyah,Semen Padang FC,Indonesia,Sayap Kiri,0,"Rp2,17Mlyr.",217000000,2026-01-26
Armando Oropa,Semen Padang FC,Indonesia,Sayap Kiri,0,"Rp1,74Mlyr.",174000000,2026-01-26
Irsyad Maulana,Semen Padang FC,Indonesia,Sayap Kiri,0,"Rp1,30Mlyr.",130000000,2026-01-26
Ambrizal Umanailo,Semen Padang FC,Indonesia,Sayap Kanan,0,"Rp1,30Mlyr.",130000000,2026-01-26
Ronaldo Kwateh,Semen Padang FC,Indonesia,Sayap Kanan,0,"Rp1,30Mlyr.",130000000,2026-01-26
Ferdiansyah,Semen Padang FC,Indonesia,Sayap Kanan,0,"Rp869,08Jt.",86908000,2026-01-26
Febrian Triyanto,Semen Padang FC,Indonesia,Sayap Kanan,41,"Rp434,54Jt.",43454000,2026-01-26
Guillermo Fernández,Semen Padang FC,Indonesia,Depan-Tengah,0,"Rp5,21Mlyr.",521000000,2026-01-26
Muhammad Ridwan,Semen Padang FC,Indonesia,Depan-Tengah,19,"Rp1,30Mlyr.",130000000,2026-01-26
Syaiful Asri,Semen Padang FC,Indonesia,Depan-Tengah,0,-,0,2026-01-26
Aditya Sentosa,Semen Padang FC,Indonesia,Penyerang,0,-,0,2026-01-26
Kadú,PSBS Biak,Indonesia,Kiper,41,"Rp2,17Mlyr.",217000000,2026-01-26
Andika Wisnu,PSBS Biak,Indonesia,Kiper,35,"Rp434,54Jt.",43454000,2026-01-26
Dimas Galih,PSBS Biak,Indonesia,Kiper,0,"Rp434,54Jt.",43454000,2026-01-26
Juan Madjar,PSBS Biak,Indonesia,Kiper,0,-,0,2026-01-26
Sandro Embaló,PSBS Biak,Indonesia,Bek-Tengah,0,"Rp3,48Mlyr.",348000000,2026-01-26
Myung-hyun Hwang,PSBS Biak,Indonesia,Bek-Tengah,0,"Rp1,74Mlyr.",174000000,2026-01-26
Nurhidayat,PSBS Biak,Indonesia,Bek-Tengah,0,"Rp1,74Mlyr.",174000000,2026-01-26
Arif Budiyono,PSBS Biak,Indonesia,Bek-Tengah,0,"Rp869,08Jt.",86908000,2026-01-26
Hadi Ardiansyah,PSBS Biak,Indonesia,Bek-Tengah,0,"Rp434,54Jt.",43454000,2026-01-26
Iqbal Hadi,PSBS Biak,Indonesia,Bek-Tengah,0,"Rp434,54Jt.",43454000,2026-01-26
Pablo Andrade,PSBS Biak,Indonesia,Bek-Kiri,33,"Rp2,61Mlyr.",261000000,2026-01-26
Urbanus Lasol,PSBS Biak,Indonesia,Bek-Kiri,0,"Rp869,08Jt.",86908000,2026-01-26
Moses Madjar,PSBS Biak,Indonesia,Bek-Kiri,44,"Rp434,54Jt.",43454000,2026-01-26
Patrias Rumere,PSBS Biak,Indonesia,Bek-Kiri,32,-,0,2026-01-26
Ians Rumbewas,PSBS Biak,Indonesia,Bek-Kiri,0,-,0,2026-01-26
Lucky Oktavianto,PSBS Biak,Indonesia,Bek-Kanan,23,"Rp1,30Mlyr.",130000000,2026-01-26
George Brown,PSBS Biak,Indonesia,Bek-Kanan,26,"Rp1,30Mlyr.",130000000,2026-01-26
Claudio Olivera,PSBS Biak,Indonesia,Bek-Kanan,28,-,0,2026-01-26
Kevin Lopez,PSBS Biak,Indonesia,Gel. Bertahan,16,"Rp1,74Mlyr.",174000000,2026-01-26
Arjuna Agung,PSBS Biak,Indonesia,Gel. Bertahan,0,"Rp1,30Mlyr.",130000000,2026-01-26
Nelson Alom,PSBS Biak,Indonesia,Gel. Bertahan,0,"Rp434,54Jt.",43454000,2026-01-26
Eduardo Barbosa,PSBS Biak,Indonesia,Gel. Tengah,20,"Rp2,61Mlyr.",261000000,2026-01-26
Yano Putra,PSBS Biak,Indonesia,Gel. Tengah,27,"Rp1,74Mlyr.",174000000,2026-01-26
Luquinhas,PSBS Biak,Indonesia,Sayap Kiri,0,"Rp3,48Mlyr.",348000000,2026-01-26
Heri Susanto,PSBS Biak,Indonesia,Sayap Kiri,0,"Rp1,30Mlyr.",130000000,2026-01-26
Muhammad Isa,PSBS Biak,Indonesia,Sayap Kiri,25,"Rp869,08Jt.",86908000,2026-01-26
Ilham Armaiyn,PSBS Biak,Indonesia,Sayap Kiri,30,"Rp869,08Jt.",86908000,2026-01-26
Alfan Tri,PSBS Biak,Indonesia,Sayap Kiri,0,-,0,2026-01-26
Raja Siregar,PSBS Biak,Indonesia,Sayap Kanan,0,"Rp869,08Jt.",86908000,2026-01-26
Ruyery Blanco,PSBS Biak,Indonesia,Depan-Tengah,0,"Rp4,35Mlyr.",435000000,2026-01-26
Mohcine Hassan,PSBS Biak,Indonesia,Depan-Tengah,0,"Rp1,74Mlyr.",174000000,2026-01-26
Tobias Solossa,PSBS Biak,Indonesia,Depan-Tengah,0,"Rp434,54Jt.",43454000,2026-01-26
Samuel Gwijangge,PSBS Biak,Indonesia,Depan-Tengah,0,"Rp434,54Jt.",43454000,2026-01-26
Nadeo Argawinata,Borneo FC Samarinda,Indonesia,Kiper,0,"Rp6,95Mlyr.",695000000,2026-01-26
Syahrul Trisna,Borneo FC Samarinda,Indonesia,Kiper,30,"Rp2,61Mlyr.",261000000,2026-01-26
Daffa Fasya,Borneo FC Samarinda,Indonesia,Kiper,0,"Rp1,74Mlyr.",174000000,2026-01-26
Andhika Setiawan,Borneo FC Samarinda,Indonesia,Kiper,27,-,0,2026-01-26
Komang Teguh,Borneo FC Samarinda,Indonesia,Bek-Tengah,16,"Rp3,48Mlyr.",348000000,2026-01-26
Mohammad Al-Husseini,Borneo FC Samarinda,Indonesia,Bek-Tengah,0,"Rp3,04Mlyr.",304000000,2026-01-26
Caxambu,Borneo FC Samarinda,Indonesia,Bek-Kiri,23,"Rp4,35Mlyr.",435000000,2026-01-26
Ardi Idrus,Borneo FC Samarinda,Indonesia,Bek-Kiri,0,"Rp2,61Mlyr.",261000000,2026-01-26
Rayhan Utina,Borneo FC Samarinda,Indonesia,Bek-Kiri,0,"Rp869,08Jt.",86908000,2026-01-26
Alfharezzi Buffon,Borneo FC Samarinda,Indonesia,Bek-Kanan,0,"Rp1,30Mlyr.",130000000,2026-01-26
Diego Michiels,Borneo FC Samarinda,Indonesia,Bek-Kanan,24,"Rp869,08Jt.",86908000,2026-01-26
Dika Kuswardani,Borneo FC Samarinda,Indonesia,Bek-Kanan,0,"Rp434,54Jt.",43454000,2026-01-26
Christophe Nduwarugira,Borneo FC Samarinda,Indonesia,Gel. Bertahan,22,"Rp6,08Mlyr.",608000000,2026-01-26
Rivaldo Pakpahan,Borneo FC Samarinda,Indonesia,Gel. Bertahan,0,"Rp3,04Mlyr.",304000000,2026-01-26
Ahmad Agung,Borneo FC Samarinda,Indonesia,Gel. Bertahan,0,"Rp1,30Mlyr.",130000000,2026-01-26
Kei Hirose,Borneo FC Samarinda,Indonesia,Gel. Tengah,0,"Rp6,95Mlyr.",695000000,2026-01-26
Juan Felipe Villa,Borneo FC Samarinda,Indonesia,Gel. Serang,20,"Rp8,69Mlyr.",869000000,2026-01-26
Marcos Astina,Borneo FC Samarinda,Indonesia,Gel. Serang,0,"Rp4,35Mlyr.",435000000,2026-01-26
Ikhsanul Zikrak,Borneo FC Samarinda,Indonesia,Gel. Serang,0,"Rp1,30Mlyr.",130000000,2026-01-26
Dwiky Hardiansyah,Borneo FC Samarinda,Indonesia,Gel. Serang,0,"Rp1,30Mlyr.",130000000,2026-01-26
Tegar Islami,Borneo FC Samarinda,Indonesia,Gel. Serang,0,-,0,2026-01-26
Muhammad Sihran,Borneo FC Samarinda,Indonesia,Sayap Kiri,0,"Rp3,91Mlyr.",391000000,2026-01-26
Redzuan Fachgi,Borneo FC Samarinda,Indonesia,Sayap Kiri,0,"Rp173,82Jt.",17382000,2026-01-26
Mariano Peralta,Borneo FC Samarinda,Indonesia,Sayap Kanan,0,"Rp10,43Mlyr.",1043000000,2026-01-26
Joel Vinícius,Borneo FC Samarinda,Indonesia,Depan-Tengah,0,"Rp2,61Mlyr.",261000000,2026-01-26
Mohammad Khanafi,Borneo FC Samarinda,Indonesia,Depan-Tengah,0,"Rp1,74Mlyr.",174000000,2026-01-26
Habibi Jusuf,Borneo FC Samarinda,Indonesia,Depan-Tengah,0,"Rp1,30Mlyr.",130000000,2026-01-26
Ousmane Camara,Borneo FC Samarinda,Indonesia,Depan-Tengah,19,-,0,2026-01-26
Dika Nurdiansyah,Borneo FC Samarinda,Indonesia,Depan-Tengah,0,-,0,2026-01-26
Angga Saputro,Malut United FC,Indonesia,Kiper,0,"Rp2,61Mlyr.",261000000,2026-01-26
Alan,Malut United FC,Indonesia,Kiper,0,"Rp2,61Mlyr.",261000000,2026-01-26
Muhammad Ridwan,Malut United FC,Indonesia,Kiper,22,"Rp869,08Jt.",86908000,2026-01-26
